Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
6_5,5,6,39.335005,140.406536,39.28996,39.38005,140.349373,140.463699
7_5,5,7,39.335005,140.520862,39.28996,39.38005,140.463699,140.578025
8_5,5,8,39.335005,140.635188,39.28996,39.38005,140.578025,140.692351
9_5,5,9,39.335005,140.749514,39.28996,39.38005,140.692351,140.806677
10_5,5,10,39.335005,140.86384,39.28996,39.38005,140.806677,140.921003
11_5,5,11,39.335005,140.978166,39.28996,39.38005,140.921003,141.035329
12_5,5,12,39.335005,141.092492,39.28996,39.38005,141.035329,141.149655
0_6,6,0,39.425095,139.72058,39.38005,39.47014,139.663417,139.777743
1_6,6,1,39.425095,139.834906,39.38005,39.47014,139.777743,139.892069
2_6,6,2,39.425095,139.949232,39.38005,39.47014,139.892069,140.006395
3_6,6,3,39.425095,140.063558,39.38005,39.47014,140.006395,140.120721
4_6,6,4,39.425095,140.177884,39.38005,39.47014,140.120721,140.235047
5_6,6,5,39.425095,140.29221,39.38005,39.47014,140.235047,140.349373
6_6,6,6,39.425095,140.406536,39.38005,39.47014,140.349373,140.463699
7_6,6,7,39.425095,140.520862,39.38005,39.47014,140.463699,140.578025
8_6,6,8,39.425095,140.635188,39.38005,39.47014,140.578025,140.692351
9_6,6,9,39.425095,140.749514,39.38005,39.47014,140.692351,140.806677
10_6,6,10,39.425095,140.86384,39.38005,39.47014,140.806677,140.921003
11_6,6,11,39.425095,140.978166,39.38005,39.47014,140.921003,141.035329
12_6,6,12,39.425095,141.092492,39.38005,39.47014,141.035329,141.149655
0_7,7,0,39.515185,139.72058,39.47014,39.56023,139.663417,139.777743
1_7,7,1,39.515185,139.834906,39.47014,39.56023,139.777743,139.892069
2_7,7,2,39.515185,139.949232,39.47014,39.56023,139.892069,140.006395
3_7,7,3,39.515185,140.063558,39.47014,39.56023,140.006395,140.120721
4_7,7,4,39.515185,140.177884,39.47014,39.56023,140.120721,140.235047
5_7,7,5,39.515185,140.29221,39.47014,39.56023,140.235047,140.349373
6_7,7,6,39.515185,140.406536,39.47014,39.56023,140.349373,140.463699
7_7,7,7,39.515185,140.520862,39.47014,39.56023,140.463699,140.578025
8_7,7,8,39.515185,140.635188,39.47014,39.56023,140.578025,140.692351
9_7,7,9,39.515185,140.749514,39.47014,39.56023,140.692351,140.806677
10_7,7,10,39.515185,140.86384,39.47014,39.56023,140.806677,140.921003
11_7,7,11,39.515185,140.978166,39.47014,39.56023,140.921003,141.035329
12_7,7,12,39.515185,141.092492,39.47014,39.56023,141.035329,141.149655
0_8,8,0,39.605275,139.72058,39.56023,39.65032,139.663417,139.777743
1_8,8,1,39.605275,139.834906,39.56023,39.65032,139.777743,139.892069
2_8,8,2,39.605275,139.949232,39.56023,39.65032,139.892069,140.006395
3_8,8,3,39.605275,140.063558,39.56023,39.65032,140.006395,140.120721
4_8,8,4,39.605275,140.177884,39.56023,39.65032,140.120721,140.235047
5_8,8,5,39.605275,140.29221,39.56023,39.65032,140.235047,140.349373
6_8,8,6,39.605275,140.406536,39.56023,39.65032,140.349373,140.463699
7_8,8,7,39.605275,140.520862,39.56023,39.65032,140.463699,140.578025
8_8,8,8,39.605275,140.635188,39.56023,39.65032,140.578025,140.692351
9_8,8,9,39.605275,140.749514,39.56023,39.65032,140.692351,140.806677
10_8,8,10,39.605275,140.86384,39.56023,39.65032,140.806677,140.921003
11_8,8,11,39.605275,140.978166,39.56023,39.65032,140.921003,141.035329
12_8,8,12,39.605275,141.092492,39.56023,39.65032,141.035329,141.149655
0_9,9,0,39.695365,139.72058,39.65032,39.74041,139.663417,139.777743
1_9,9,1,39.695365,139.834906,39.65032,39.74041,139.777743,139.892069
2_9,9,2,39.695365,139.949232,39.65032,39.74041,139.892069,140.006395
3_9,9,3,39.695365,140.063558,39.65032,39.74041,140.006395,140.120721
4_9,9,4,39.695365,140.177884,39.65032,39.74041,140.120721,140.235047
5_9,9,5,39.695365,140.29221,39.65032,39.74041,140.235047,140.349373
6_9,9,6,39.695365,140.406536,39.65032,39.74041,140.349373,140.463699
7_9,9,7,39.695365,140.520862,39.65032,39.74041,140.463699,140.578025
8_9,9,8,39.695365,140.635188,39.65032,39.74041,140.578025,140.692351
9_9,9,9,39.695365,140.749514,39.65032,39.74041,140.692351,140.806677
10_9,9,10,39.695365,140.86384,39.65032,39.74041,140.806677,140.921003
11_9,9,11,39.695365,140.978166,39.65032,39.74041,140.921003,141.035329
12_9,9,12,39.695365,141.092492,39.65032,39.74041,141.035329,141.149655
0_10,10,0,39.785455,139.72058,39.74041,39.8305,139.663417,139.777743
1_10,10,1,39.785455,139.834906,39.74041,39.8305,139.777743,139.892069
2_10,10,2,39.785455,139.949232,39.74041,39.8305,139.892069,140.006395
3_10,10,3,39.785455,140.063558,39.74041,39.8305,140.006395,140.120721
4_10,10,4,39.785455,140.177884,39.74041,39.8305,140.120721,140.235047
5_10,10,5,39.785455,140.29221,39.74041,39.8305,140.235047,140.349373
6_10,10,6,39.785455,140.406536,39.74041,39.8305,140.349373,140.463699
7_10,10,7,39.785455,140.520862,39.74041,39.8305,140.463699,140.578025
8_10,10,8,39.785455,140.635188,39.74041,39.8305,140.578025,140.692351
9_10,10,9,39.785455,140.749514,39.74041,39.8305,140.692351,140.806677
10_10,10,10,39.785455,140.86384,39.74041,39.8305,140.806677,140.921003
11_10,10,11,39.785455,140.978166,39.74041,39.8305,140.921003,141.035329
12_10,10,12,39.785455,141.092492,39.74041,39.8305,141.035329,141.149655
0_11,11,0,39.875545,139.72058,39.8305,39.92059,139.663417,139.777743
1_11,11,1,39.875545,139.834906,39.8305,39.92059,139.777743,139.892069
2_11,11,2,39.875545,139.949232,39.8305,39.92059,139.892069,140.006395
3_11,11,3,39.875545,140.063558,39.8305,39.92059,140.006395,140.120721
4_11,11,4,39.875545,140.177884,39.8305,39.92059,140.120721,140.235047
5_11,11,5,39.875545,140.29221,39.8305,39.92059,140.235047,140.349373
6_11,11,6,39.875545,140.406536,39.8305,39.92059,140.349373,140.463699
7_11,11,7,39.875545,140.520862,39.8305,39.92059,140.463699,140.578025
8_11,11,8,39.875545,140.635188,39.8305,39.92059,140.578025,140.692351
9_11,11,9,39.875545,140.749514,39.8305,39.92059,140.692351,140.806677
10_11,11,10,39.875545,140.86384,39.8305,39.92059,140.806677,140.921003
11_11,11,11,39.875545,140.978166,39.8305,39.92059,140.921003,141.035329
12_11,11,12,39.875545,141.092492,39.8305,39.92059,141.035329,141.149655
0_12,12,0,39.965635,139.72058,39.92059,40.01068,139.663417,139.777743
1_12,12,1,39.965635,139.834906,39.92059,40.01068,139.777743,139.892069
